photo_id, filename     , sign_id, sign_type, th_text                                                               , th_head ,zh_text          ,zh_s-t,zh_typeface,zh_five script, zh_direction,en_text                           ,en_typeface,layout  ,clr_script       ,clr_back, dim,mtrl_script,mtrl_back,writing tech,arch type, business type,open or close,size, latitude          , longitude, need_of_correction        
       1, IMG_3750.jpeg,        1,shopfront fascia,"โรงรับจํานัา, โรงรับจํานํา, บริษัทเช่งเป็งจํากัด, บริษัทเช่งเป็งจํากัด", loopless,"成興大餉當, 有限公司", t     ,brush based,regular, RTL         ,,, th-zh-th   , gold,black, 3d     ,metal,,metalworking,,pawn shop,close,, 13.740433333333332, 100.5093,
       2, IMG_2091.jpeg,        2,shopfront fascia, ช้างเสรีชัย                                                                , loopless,生利財文具行          , t     ,brush based,regular, RTL         , THE SERICHAI                           ,san-serif, th//en-zh  , gold,brown, 3d     ,metal,metal,metalworking,shophouse,stationery store,open,, 13.743630555555555, 100.50394444444444,
       3, IMG_2491.jpeg,        3,shopfront fascia, บริษัท กาญจนไพบูลย์ จำก                                                     , loopless,長豐隆有限公司        , t     ,brush based,regular, RTL         ,"KARNCHANA PAIBUL CO.,LTD.",san-serif, th-zh//en  , silver,brown, 3d     ,metal,stone,metalworking,,,close,, 13.751680555555556, 100.52555, th_lastword_not_identified
       4, IMG_2162.jpeg,        4,shopfront fascia, โพธิ์ประดิษฐ์สมุนไพร                                                         , loop    ,榮盛大藥行            , t     ,brush based,regular, LTR         , PHOPRADIT HERB                         ,san-serif, th//en-zh  , gold,red,3d,,,,,pharmacy,open,, 13.751586111111111, 100.50863611111112,
       5, IMG_2146.jpeg,        5,shopfront fascia, นิยมจักรยาน                                                               , loopless, 發財沈                , t     ,brush based,regular, RTL         ,,, th-zh      , gold,red, 3d     ,,,,,,close,, 13.7487           , 100.50724166666667,
       6, IMG_2344.jpeg,        6,shopfront fascia,"ห้างหันส่วนจ้วกัด, อิสเมิร์นแจนติค", loopless, 東方两合公司          , t*    ,brush based,regular, RTL         ,"EASTERN ANTIQUES, LIMITED PARTNERSHIP",serif, th-zh//en  , gold,white, 3d     ,metal,corrugated iron,metalworking,,antique shop,open,, 13.726041666666667, 100.516175, th_manual                 
       7, IMG_2112.jpeg,        7,shopfront fascia,"ห้างหุ้นส่วนจำกัด, ผ. รัตนโชติเทรดดิ้ง", loop    , 建輪盛两合公司        , t*    ,brush based,regular, RTL         ,"P.RATTANACHOTE TRADING LTD.,PART.",san-serif, th//en-zh  , gold,gray, 3d     ,metal,stone,metalworking,,equipment wholesaler_door knob,open,, 13.7433           , 100.50599722222222,
       8, IMG_3558.jpeg,        8,shopfront fascia, ศรีฟ้า                                                                    , loopless, 世華                  , t     ,brush based,regular, RTL         ,SRIFAH,san-serif, th-(zh//en), multi,white, 3d     ,metal,,metalworking,,,open,, 13.72738611111111 , 100.57550833333333,
       9, IMG_2152.jpeg,        9,shopfront fascia,"ห.จก, แสงศิริเอ็นจิเนียริ่ง", loopless, 光成發兩合公司        , t     ,,regular, RTL         ,"SANG SIRI ENGINEERING LTD.,PART.",san-serif, th//en-zh  , gold,silver, 3d     ,metal,corrugated iron,metalworking,,equipment wholesaler,open,, 13.749008333333332, 100.50748333333334,
      10, IMG_3119.jpeg,       10,shopfront fascia, ซาลาเปาร้านว่านเพิ่ง                                                        , loop    , 万丰包子铺            , s     ,,regular, LTR         ,,, zh//th     , gold,red, 3d     ,,,,,restaurant_chinese,open,, 13.778483333333334, 100.57585833333333,
      11, IMG_3114.jpeg,       11,shopfront fascia, ซุปนอมm                                                                  , loopless, 淮南牛肉汤            , s     ,,regular, LTR         ,,, zh-th      , white,black, 2d     ,vinyl,vinyl,vinyl printing,,restaurant_chinese,open,, 13.778236111111111, 100.5774,
      12, IMG_2089.jpeg,       12,shopfront fascia,เอี้ยนนี่เกาะ, loopless,"延年閣, 两合公司", t*    ,,regular, LTR         ,"EAIN NEE KOK, PARTNERSHIP LTD",san-serif, th-zh-en   , gold,brown, 3d     ,metal,wood,metalworking,,pharmacy,oepn,, 13.743438888888887, 100.50381388888889,
      13, IMG_2135.jpeg,       13,shopfront fascia,"แสงธานี, ห้างหุ้นส่วนจํากัด", loopless,"光城, 两合公司", t*    ,brush based,regular, RTL         ,"SANG THANI, LIMITED PARTNERSHIP",san-serif, th-zh-en   , gold,black, 3d     ,metal,stone,metalworking,,equipment wholesaler_air compressor,open,, 13.745013888888888, 100.50692777777778,
